	Primary_polyp_DMSO_1	Primary_polyp_DMSO_2	Primary_polyp_DMSO_3	Primary_polyp_AZK_1	Primary_polyp_AZK_2	Primary_polyp_AZK_3
NODE_56977_length_984_cov_418.087141_g17392_i0	10	12	12	20	21	23
NODE_24821_length_2543_cov_236.642800_g6112_i0	7	8	9	18	18	18
NODE_50659_length_1223_cov_304.751695_g4073_i13	0	1	1	10	8	10
NODE_41999_length_1591_cov_60.029716_g11249_i0	8	7	8	19	17	17
NODE_48441_length_1312_cov_338.190701_g13525_i0	8	8	8	19	16	19
NODE_38468_length_1756_cov_484.289550_g1108_i13	10	11	9	19	21	20
NODE_50818_length_1217_cov_460.172061_g9361_i1	50	53	51	52	52	52
NODE_27348_length_2374_cov_127.300729_g6807_i0	1	1	1	10	9	9
NODE_50820_length_1217_cov_354.166951_g7059_i3	8	9	9	19	17	20
NODE_16656_length_3232_cov_435.202571_g1108_i11	11	11	13	22	22	21
NODE_14582_length_3466_cov_326.854806_g3522_i0	10	10	11	20	21	20
NODE_59647_length_895_cov_496.037559_g2472_i7	147	128	170	141	99	119
NODE_24143_length_2591_cov_420.592622_g1092_i31	2	2	2	10	11	11
NODE_56590_length_997_cov_106.897275_g17190_i0	2	2	2	10	11	11
NODE_59485_length_901_cov_55.199301_g18792_i0	1	1	1	9	9	10
NODE_72217_length_552_cov_305.695481_g28488_i0	1	1	1	9	9	10
NODE_52162_length_1163_cov_299.896429_g10_i11173	3	3	2	12	10	13
NODE_53380_length_1113_cov_362.123364_g1810_i6	64	68	71	69	60	61
NODE_12307_length_3749_cov_476.964112_g2272_i3	0	1	1	8	9	11
NODE_57665_length_961_cov_320.273420_g17760_i0	2	2	2	10	10	12
NODE_68877_length_628_cov_224.157265_g25523_i0	0	0	1	9	6	9
NODE_50142_length_1244_cov_337.202331_g2816_i3	8	7	7	17	15	20
NODE_48311_length_1318_cov_349.085490_g5860_i1	14	15	14	23	23	26
NODE_19069_length_2994_cov_139.194849_g4645_i0	5	6	6	16	15	15
NODE_31273_length_2135_cov_353.427342_g617_i63	8	8	10	18	19	19
NODE_59590_length_897_cov_459.866511_g18856_i0	44	48	49	50	48	49
NODE_39572_length_1702_cov_491.886679_g8241_i1	71	79	60	60	61	74
NODE_75814_length_484_cov_244.222222_g31910_i0	1	1	1	11	7	10
NODE_2953_length_6555_cov_561.184736_g511_i7	22	20	25	32	31	30
NODE_111597_length_204_cov_5.782609_g67616_i0	24	19	19	0	0	0
NODE_37036_length_1825_cov_336.916386_g9621_i0	11	12	9	21	18	23
NODE_35690_length_1892_cov_509.932937_g6209_i3	25	28	24	34	32	34
NODE_22120_length_2738_cov_279.661224_g5367_i1	8	12	12	20	20	22
NODE_26359_length_2438_cov_349.975365_g6530_i0	14	14	13	23	22	25
NODE_9032_length_4310_cov_411.504101_g2135_i0	21	23	23	31	29	32
NODE_35503_length_1902_cov_408.526089_g10_i8555	3	3	3	11	11	14
NODE_4200_length_5843_cov_455.570862_g601_i11	13	13	14	23	22	24
NODE_95112_length_280_cov_464.130802_g51133_i0	14	13	10	19	26	22
NODE_31229_length_2137_cov_436.518147_g6309_i2	36	39	36	40	42	43
NODE_45050_length_1455_cov_553.997875_g12288_i0	44	49	49	49	49	49
NODE_42966_length_1549_cov_642.770252_g2854_i10	5	5	7	15	15	16
NODE_105393_length_228_cov_15.762162_g61412_i0	44	40	37	42	44	47
NODE_26735_length_2412_cov_523.762769_g3329_i4	28	30	27	34	33	39
NODE_16026_length_3303_cov_141.591104_g10_i4403	2	3	2	11	11	11
NODE_22233_length_2730_cov_357.981020_g5448_i0	2	3	2	11	11	11
NODE_57804_length_957_cov_508.555799_g546_i9	13	13	14	24	21	24
NODE_66985_length_675_cov_388.291139_g5796_i1	17	20	17	26	27	28
NODE_22050_length_2743_cov_574.499630_g10_i5893	7	5	8	14	16	20
NODE_24071_length_2597_cov_348.489037_g10_i6365	23	24	23	32	31	31
NODE_28803_length_2283_cov_371.976339_g3086_i2	15	22	21	28	30	27
NODE_35421_length_1906_cov_593.184648_g6712_i3	15	23	20	27	27	31
NODE_78759_length_438_cov_152.754430_g34804_i0	7	6	5	18	15	14
NODE_10255_length_4077_cov_326.770699_g10_i2922	3	5	5	13	14	14
NODE_31364_length_2131_cov_225.634100_g7942_i0	7	6	7	16	16	17
NODE_8515_length_4421_cov_389.610324_g920_i2	27	28	28	35	34	35
NODE_54334_length_1077_cov_606.200193_g3135_i8	1	0	2	7	8	14
NODE_39870_length_1689_cov_166.020656_g10466_i1	3	3	4	13	12	12
NODE_45111_length_1452_cov_381.003549_g12306_i0	37	35	32	39	39	42
NODE_81191_length_404_cov_13.088643_g37224_i0	44	48	38	41	48	50
NODE_59_length_15690_cov_357.957180_g5_i12	29	26	36	43	37	33
NODE_50789_length_1218_cov_332.830638_g55_i10	341	339	339	218	225	216
NODE_17710_length_3129_cov_229.783215_g3859_i1	3	6	4	14	13	14
NODE_14361_length_3495_cov_386.041136_g3462_i0	11	11	11	20	21	21
NODE_8567_length_4409_cov_393.248511_g2029_i0	15	16	14	24	23	26
NODE_41186_length_1626_cov_304.005054_g8103_i1	6	6	8	16	16	17
NODE_69739_length_607_cov_178.306738_g26243_i0	0	0	0	6	6	5
NODE_26594_length_2422_cov_256.064733_g6586_i0	10	11	11	21	19	21
NODE_17040_length_3194_cov_232.745160_g1558_i1	8	9	7	17	17	19
NODE_9922_length_4136_cov_347.749572_g2356_i0	14	16	14	23	23	26
NODE_99275_length_257_cov_87.766355_g55294_i0	39	32	35	1	0	1
NODE_80774_length_409_cov_761.603825_g36809_i0	2	4	1	11	8	15
NODE_30948_length_2155_cov_215.603693_g7827_i0	17	18	16	26	25	27
NODE_6018_length_5086_cov_279.681539_g10_i1657	28	28	26	33	34	36
NODE_9191_length_4276_cov_365.025041_g1829_i1	34	35	37	40	41	40
NODE_53895_length_1094_cov_239.980971_g229_i7	0	0	0	5	6	6
NODE_79818_length_422_cov_221.725594_g35857_i0	0	0	0	5	6	6
NODE_76264_length_476_cov_448.281755_g32354_i0	12	14	15	25	29	17
NODE_28719_length_2288_cov_253.576392_g10_i7320	2	2	1	9	11	10
NODE_101270_length_247_cov_15.166667_g57289_i0	56	57	55	50	57	57
NODE_8449_length_4434_cov_414.829652_g1349_i5	15	19	20	29	26	26
NODE_69171_length_621_cov_433.942907_g25773_i0	8	8	9	17	18	19
NODE_6068_length_5068_cov_407.781095_g915_i4	24	27	26	32	32	35
NODE_40671_length_1650_cov_568.640946_g3329_i5	30	26	32	40	36	33
NODE_56340_length_1006_cov_181.813084_g17056_i0	2	1	2	10	10	10
NODE_74782_length_504_cov_173.655098_g30909_i0	9	9	9	19	17	20
NODE_15354_length_3377_cov_347.526095_g388_i6	32	29	43	45	37	41
NODE_26460_length_2431_cov_271.659129_g2733_i2	12	11	13	21	24	20
NODE_39003_length_1730_cov_393.278601_g10_i9165	4	6	3	12	13	16
NODE_22345_length_2723_cov_230.243284_g4117_i1	4	4	3	13	12	13
NODE_60819_length_856_cov_490.186962_g19587_i0	33	33	37	39	38	42
NODE_18216_length_3076_cov_281.785361_g2940_i2	9	8	9	18	18	19
NODE_54986_length_1054_cov_586.883284_g16383_i0	40	48	38	45	44	46
NODE_77360_length_459_cov_191.281250_g33424_i0	0	0	1	8	7	8
NODE_47914_length_1335_cov_533.572755_g12182_i1	43	41	39	43	45	45
NODE_24095_length_2595_cov_323.433386_g935_i6	0	0	0	5	5	7
NODE_39743_length_1695_cov_187.354722_g10490_i0	0	0	0	5	5	7
NODE_49426_length_1273_cov_361.548780_g10890_i1	13	16	14	22	23	26
NODE_22563_length_2707_cov_598.403529_g5532_i0	23	27	27	33	32	34
NODE_56544_length_998_cov_645.179058_g5993_i4	51	46	44	48	48	50
NODE_30495_length_2181_cov_261.487371_g7695_i0	0	1	0	7	8	8
NODE_70072_length_600_cov_10.120287_g26532_i0	3	4	4	12	12	14
NODE_87621_length_334_cov_162.261168_g43643_i0	16	15	16	29	23	23
NODE_54923_length_1056_cov_344.922014_g16350_i0	0	1	1	8	8	11
NODE_1525_length_8249_cov_229.382769_g368_i0	1	1	1	9	9	9
NODE_15924_length_3313_cov_141.912844_g3880_i0	1	1	1	9	9	9
NODE_36304_length_1861_cov_182.350385_g9404_i0	1	1	1	9	9	9
NODE_52492_length_1149_cov_46.437613_g15176_i0	1	1	1	9	9	9
NODE_56842_length_988_cov_370.091005_g17316_i1	93	86	96	14	14	11
NODE_79904_length_421_cov_375.510582_g35943_i0	8	10	11	13	27	20
NODE_68400_length_640_cov_342.313233_g4668_i3	24	23	30	31	35	34
NODE_72729_length_542_cov_186.863727_g28966_i0	0	1	0	8	6	9
NODE_13319_length_3622_cov_361.606594_g2717_i1	23	24	24	31	32	31
NODE_48128_length_1326_cov_131.663289_g10_i10632	21	21	19	28	29	29
NODE_60514_length_866_cov_48.772783_g19412_i0	3	3	2	11	10	13
NODE_733_length_9985_cov_206.079059_g153_i0	2	2	2	10	10	11
NODE_72099_length_554_cov_235.021526_g28377_i0	2	2	2	10	10	11
NODE_20631_length_2858_cov_631.341385_g3131_i1	38	30	40	40	42	42
NODE_19670_length_2937_cov_496.741534_g1895_i7	4	1	3	11	11	13
NODE_33534_length_2008_cov_266.374046_g8549_i0	14	13	14	23	23	23
NODE_73079_length_535_cov_465.386179_g11434_i4	8	13	10	22	19	19
NODE_9585_length_4197_cov_461.705344_g10_i2724	5	7	5	15	15	15
NODE_40852_length_1642_cov_222.954346_g10844_i0	17	16	16	26	24	26
NODE_67538_length_662_cov_259.410339_g21484_i2	12	10	12	22	23	18
NODE_27877_length_2338_cov_395.951198_g6960_i0	82	82	81	73	70	70
NODE_34509_length_1957_cov_327.275862_g7257_i3	10	4	3	19	16	13
NODE_62918_length_791_cov_51.001337_g20985_i0	3	3	3	12	11	12
NODE_58303_length_940_cov_533.612040_g18130_i0	62	63	53	54	56	60
NODE_13318_length_3622_cov_419.354848_g10_i3758	3	4	6	17	11	13
NODE_10219_length_4086_cov_446.254514_g2443_i0	29	29	29	35	35	36
NODE_21629_length_2776_cov_219.667033_g4946_i2	8	1	8	16	19	15
NODE_17726_length_3127_cov_361.194877_g4317_i0	19	20	20	27	28	29
NODE_71504_length_567_cov_353.629771_g27828_i0	16	15	17	24	25	26
NODE_60575_length_864_cov_628.347138_g10_i12032	18	22	13	26	22	33
NODE_64028_length_757_cov_509.460784_g21740_i0	33	38	33	36	37	46
NODE_37995_length_1779_cov_438.202765_g9923_i0	11	13	11	21	20	22
NODE_5514_length_5261_cov_169.720391_g1299_i0	6	6	7	16	15	16
NODE_90912_length_308_cov_733.928302_g46934_i0	10916	9936	10046	5164	5836	5479
NODE_31891_length_2100_cov_434.714633_g1527_i8	14	17	14	23	24	25
NODE_48169_length_1324_cov_540.365340_g13327_i1	52	52	49	49	45	60
NODE_1861_length_7718_cov_358.021889_g106_i15	7	6	6	16	15	16
NODE_15642_length_3343_cov_301.981818_g1734_i3	11	12	12	22	20	21
NODE_21743_length_2768_cov_166.643303_g10_i5829	2	4	3	11	12	12
NODE_54145_length_1085_cov_346.163148_g15941_i0	30	31	34	36	36	40
NODE_6317_length_4989_cov_298.108168_g1485_i0	19	19	20	28	28	27
NODE_63077_length_786_cov_181.966353_g21093_i0	4	6	4	11	12	19
NODE_14247_length_3507_cov_329.170612_g3430_i0	21	24	22	30	30	30
NODE_25983_length_2462_cov_512.934270_g6362_i1	30	28	28	35	34	36
NODE_48144_length_1325_cov_253.836973_g13402_i0	10	11	10	21	19	19
NODE_41189_length_1626_cov_199.049905_g10954_i1	5	4	4	13	12	15
NODE_6934_length_4805_cov_212.080848_g1640_i0	8	9	8	18	17	18
NODE_41711_length_1603_cov_107.430769_g10970_i1	4	5	5	13	15	13
NODE_13812_length_3562_cov_442.886331_g3326_i0	43	46	45	47	46	46
NODE_42147_length_1584_cov_607.458144_g11096_i1	23	7	17	30	21	31
NODE_28610_length_2294_cov_346.956464_g7175_i0	18	19	20	29	26	27
NODE_23498_length_2637_cov_257.348111_g5643_i1	11	10	11	19	21	20
NODE_16479_length_3251_cov_715.555486_g1199_i7	51	52	53	51	51	52
NODE_39488_length_1706_cov_425.914011_g10416_i0	82	84	86	72	71	73
NODE_50117_length_1245_cov_482.574043_g2153_i27	40	39	43	2	2	3
NODE_38409_length_1759_cov_338.359557_g9116_i3	20	17	21	0	0	0
NODE_8224_length_4488_cov_352.704162_g10_i2303	45	53	34	43	45	52
NODE_71859_length_560_cov_9.729207_g28153_i0	22	18	18	0	0	0
NODE_44381_length_1485_cov_230.024965_g12059_i0	0	1	1	9	8	9
NODE_76636_length_471_cov_9.422897_g32719_i0	6	7	8	17	18	14
NODE_52881_length_1133_cov_348.866972_g15343_i0	1787	1731	1856	985	1001	977
NODE_26807_length_2407_cov_550.108714_g6554_i2	7	7	8	15	16	19
NODE_92531_length_296_cov_500.015810_g48552_i0	3	4	5	13	10	16
NODE_3107_length_6453_cov_363.478471_g556_i1	13	14	13	22	22	23
NODE_67197_length_670_cov_185.980861_g24141_i0	1	0	1	8	10	8
NODE_57176_length_977_cov_385.189507_g17489_i0	7	11	9	18	18	19
NODE_14124_length_3522_cov_282.546134_g3395_i0	15	15	12	24	22	23
NODE_67280_length_668_cov_655.956800_g24212_i0	5437	4987	4823	2487	2871	2841
NODE_11859_length_3818_cov_327.761060_g804_i2	23	23	25	31	32	30
NODE_23583_length_2630_cov_459.723618_g1521_i7	17	20	17	26	26	27
NODE_83833_length_372_cov_22.227964_g39857_i0	46	54	43	46	47	52
NODE_50631_length_1224_cov_519.949196_g10_i10968	21	25	25	29	30	34
NODE_49700_length_1262_cov_261.773585_g14051_i0	0	0	1	8	7	7
NODE_41223_length_1624_cov_446.113852_g4928_i7	0	1	0	8	7	7
NODE_44611_length_1475_cov_366.072626_g11310_i1	190	181	182	39	40	38
NODE_65995_length_701_cov_234.300912_g11447_i2	0	1	0	7	7	8
NODE_48598_length_1305_cov_311.816957_g13586_i0	24	27	28	34	31	34
NODE_26141_length_2451_cov_160.775332_g6347_i1	0	0	1	7	13	3
NODE_53157_length_1122_cov_123.749768_g15462_i0	3	3	2	11	11	11
NODE_120093_length_171_cov_3.328125_g76112_i0	1	0	0	3	11	9
NODE_31022_length_2150_cov_654.456099_g6767_i2	358	336	372	235	224	227
NODE_41866_length_1596_cov_184.508049_g7007_i1	1	0	2	8	9	10
NODE_18686_length_3027_cov_371.154491_g3082_i5	23	23	23	30	32	29
NODE_42496_length_1570_cov_467.255403_g11414_i0	103	95	94	82	76	83
NODE_19695_length_2935_cov_243.647994_g10_i5297	24	26	29	34	33	32
NODE_40868_length_1641_cov_273.485607_g4206_i9	18	20	21	27	26	30
NODE_49458_length_1272_cov_476.330350_g10620_i1	11	9	10	22	20	16
NODE_31586_length_2117_cov_325.396818_g7993_i0	2	2	2	10	10	10
NODE_28449_length_2304_cov_641.381247_g10_i7267	31	31	40	44	31	44
NODE_47049_length_1371_cov_321.539910_g10_i10459	12	16	11	20	23	23
NODE_27518_length_2362_cov_245.856404_g10_i7076	11	12	11	20	21	20
NODE_33531_length_2008_cov_357.613740_g8548_i0	23	22	23	29	31	30
NODE_12821_length_3681_cov_236.857339_g10_i3619	0	0	0	6	5	5
NODE_23686_length_2623_cov_225.517054_g5358_i1	0	0	0	6	5	5
NODE_81227_length_404_cov_5.595568_g37260_i0	0	0	0	6	5	5
NODE_71044_length_577_cov_562.202247_g27411_i0	91	93	96	77	78	77
NODE_19500_length_2953_cov_481.867010_g1632_i8	15	19	17	26	25	25
NODE_59154_length_912_cov_79.705409_g18604_i0	0	0	0	5	6	5
NODE_11204_length_3924_cov_121.197887_g10_i3185	0	0	0	5	5	6
NODE_37242_length_1815_cov_103.215576_g9693_i0	0	0	0	5	5	6
NODE_39524_length_1705_cov_15.663658_g10425_i0	0	0	0	5	5	6
NODE_51521_length_1188_cov_301.210480_g14062_i2	0	0	0	5	5	6
NODE_14977_length_3421_cov_255.284192_g2984_i1	11	11	11	19	20	21
NODE_14638_length_3461_cov_201.754827_g3538_i0	16	17	17	25	25	25
NODE_53176_length_1121_cov_365.717069_g15472_i0	22	27	22	30	30	32
NODE_9894_length_4140_cov_293.885038_g1997_i2	16	15	14	22	23	26
NODE_12150_length_3775_cov_252.663183_g2875_i1	10	11	11	20	19	20
NODE_48721_length_1299_cov_260.468153_g13640_i0	12	12	10	21	21	19
NODE_37899_length_1784_cov_384.688685_g9009_i1	35	40	45	45	42	42
NODE_39776_length_1693_cov_481.838788_g4819_i8	20	20	23	29	29	28
NODE_42688_length_1563_cov_203.119737_g11488_i0	0	0	0	6	4	6
NODE_16802_length_3218_cov_232.424252_g4088_i0	7	7	7	16	16	16
NODE_5524_length_5258_cov_285.455609_g1259_i1	14	16	13	22	22	25
NODE_44063_length_1499_cov_304.160027_g9339_i1	24	24	23	30	29	33
NODE_10294_length_4072_cov_193.129809_g2462_i0	9	10	9	18	19	18
NODE_21605_length_2778_cov_187.915905_g5287_i0	9	10	9	18	19	18
NODE_48479_length_1310_cov_424.127072_g8211_i2	13	16	15	26	23	21
NODE_15114_length_3406_cov_430.887898_g3660_i0	23	23	25	31	30	31
NODE_6477_length_4942_cov_362.059400_g1510_i2	11	11	9	20	19	19
NODE_64842_length_733_cov_450.662319_g22324_i0	54	56	70	60	55	56
NODE_69324_length_617_cov_540.106272_g25898_i0	1	1	3	10	11	8
NODE_14950_length_3425_cov_237.720875_g3528_i1	20	21	19	27	27	29
NODE_31041_length_2149_cov_384.707028_g5588_i2	14	11	11	22	20	21
NODE_26279_length_2443_cov_258.123750_g2468_i8	7	8	5	16	16	15
NODE_9500_length_4212_cov_244.619573_g1667_i2	9	10	9	17	18	20
NODE_7004_length_4785_cov_198.046183_g450_i6	1	1	3	9	9	11
NODE_11447_length_3884_cov_260.451966_g2733_i0	9	9	9	18	17	19
NODE_22484_length_2714_cov_332.837140_g5510_i0	0	0	0	4	5	7
NODE_41764_length_1600_cov_212.418112_g11161_i0	8	9	9	17	17	19
NODE_48949_length_1290_cov_287.748998_g13747_i0	36	39	42	43	39	44
NODE_25546_length_2491_cov_439.933824_g3717_i4	2	2	2	9	8	13
NODE_31389_length_2129_cov_240.021572_g7946_i0	8	8	7	17	15	18
NODE_39549_length_1703_cov_400.127108_g8307_i3	21	24	26	32	31	29
NODE_18302_length_3067_cov_330.619709_g554_i13	5	5	4	13	13	14
NODE_22282_length_2727_cov_299.385991_g3631_i1	10	9	9	17	19	19
NODE_29162_length_2261_cov_140.518034_g7333_i0	8	9	7	16	16	19
NODE_63911_length_761_cov_316.412256_g9181_i1	10	15	13	19	20	26
NODE_109043_length_214_cov_5.450292_g65062_i0	39	40	32	37	45	40
NODE_84735_length_362_cov_267.520376_g40757_i0	38	38	37	2	2	2
NODE_12074_length_3785_cov_492.150187_g2427_i2	9	4	4	15	15	15
NODE_67888_length_652_cov_538.983580_g24695_i0	20	24	21	28	24	36
NODE_21424_length_2792_cov_340.157148_g5248_i0	27	26	25	32	31	34
NODE_44415_length_1483_cov_462.212500_g12072_i0	34	34	38	41	39	38
NODE_64715_length_737_cov_272.512968_g22225_i0	19	24	22	27	28	32
NODE_37355_length_1809_cov_1327.339185_g10_i8900	67	57	49	55	58	53
NODE_34107_length_1977_cov_452.845398_g8735_i0	47	44	48	48	46	47
NODE_45811_length_1423_cov_220.659420_g11646_i1	13	13	14	23	22	21
NODE_19730_length_2932_cov_543.981308_g2277_i3	61	62	65	63	43	74
NODE_85020_length_359_cov_102.579114_g41042_i0	2	2	4	14	9	10
NODE_31255_length_2136_cov_482.363115_g7913_i0	17	19	19	24	25	30
NODE_15944_length_3311_cov_514.066707_g900_i3	23	20	24	29	28	32
NODE_41881_length_1595_cov_543.491624_g4819_i9	4	3	3	12	12	11
NODE_15284_length_3385_cov_570.071514_g3703_i0	16	16	15	22	25	25
NODE_108046_length_218_cov_4.622857_g64065_i0	38	40	36	43	40	40
NODE_63542_length_772_cov_278.657064_g21408_i0	0	1	1	7	10	8
NODE_28802_length_2283_cov_405.429018_g2846_i5	14	16	15	23	23	24
NODE_21567_length_2781_cov_227.552958_g3899_i1	17	17	21	28	25	26
NODE_31084_length_2146_cov_926.253447_g3250_i4	21	16	18	0	0	0
NODE_44585_length_1476_cov_309.214934_g12131_i0	4	6	4	12	12	16
NODE_59784_length_890_cov_420.103896_g18977_i0	44	53	44	45	43	54
NODE_21156_length_2815_cov_231.171717_g3533_i2	2	4	4	12	12	11
NODE_76890_length_466_cov_273.921986_g32967_i0	2	4	4	12	12	11
NODE_43473_length_1526_cov_422.204990_g7607_i3	15	15	17	26	22	24
NODE_67369_length_666_cov_217.454254_g24281_i0	0	0	1	8	7	6
NODE_42813_length_1557_cov_216.929987_g2936_i4	4	4	6	15	13	12
NODE_25046_length_2527_cov_416.213768_g6180_i0	14	16	14	23	22	24
NODE_36547_length_1848_cov_338.711357_g6782_i2	0	0	1	8	6	7
NODE_8358_length_4458_cov_246.538392_g1982_i0	14	15	15	23	23	23
NODE_56140_length_1013_cov_437.732990_g1801_i5	27	30	27	35	35	31
NODE_80913_length_407_cov_290.500000_g36948_i0	0	1	0	7	8	6
NODE_25737_length_2479_cov_207.536125_g6105_i1	2	2	1	9	9	10
NODE_49751_length_1260_cov_349.988496_g14069_i0	65	69	68	59	59	63
NODE_5037_length_5458_cov_360.035272_g10_i1339	17	19	15	24	25	26
NODE_42808_length_1557_cov_363.697490_g6592_i1	50	50	41	44	46	52
NODE_6598_length_4901_cov_280.857143_g1561_i0	14	15	15	23	22	24
NODE_17888_length_3110_cov_392.138572_g716_i23	4	4	3	11	13	12
NODE_54940_length_1056_cov_45.184600_g1171_i8	1	0	0	6	8	7
NODE_30795_length_2163_cov_361.910849_g4206_i8	11	13	11	19	20	22
NODE_73584_length_526_cov_292.517598_g28376_i1	0	1	0	6	7	8
NODE_54077_length_1087_cov_775.611111_g10_i11398	0	1	1	3	18	6
NODE_45273_length_1445_cov_472.937233_g10337_i2	25	24	22	30	31	30
NODE_20110_length_2902_cov_244.899265_g4895_i0	2	1	2	9	9	10
NODE_46229_length_1406_cov_327.377109_g12685_i0	22	26	23	28	29	34
NODE_21195_length_2812_cov_221.831708_g1886_i3	11	11	11	19	20	20
NODE_17978_length_3102_cov_219.659039_g4380_i0	6	6	5	13	14	16
NODE_36780_length_1837_cov_258.367336_g8875_i1	6	6	5	13	14	16
NODE_39745_length_1695_cov_175.560533_g10491_i0	1	1	1	8	8	9
NODE_53288_length_1117_cov_209.551210_g15528_i0	1	1	1	8	8	9
NODE_68530_length_637_cov_399.979798_g1045_i14	11	11	11	21	19	19
NODE_23561_length_2632_cov_302.227115_g3220_i4	12	12	11	19	19	23
NODE_32237_length_2081_cov_433.073111_g8179_i0	32	34	28	35	36	37
NODE_39651_length_1698_cov_305.364350_g10464_i0	4	4	4	12	12	13
NODE_27082_length_2390_cov_336.873029_g6721_i0	10	11	10	19	19	19
NODE_5884_length_5124_cov_466.470970_g786_i4	19	21	20	26	28	28
NODE_36774_length_1837_cov_634.000000_g80_i17	119	127	142	98	96	102
NODE_36929_length_1830_cov_364.277560_g9593_i0	10	11	10	18	19	20
NODE_114816_length_192_cov_4.711409_g70835_i0	1027	1008	866	536	613	529
NODE_13679_length_3579_cov_313.609163_g3301_i0	6	3	4	13	11	15
NODE_48691_length_1301_cov_55.102544_g13627_i0	2	2	2	10	10	9
NODE_51362_length_1194_cov_564.662033_g5993_i3	12	21	20	25	30	23
NODE_40500_length_1658_cov_256.202477_g9466_i1	6	7	6	14	14	17
NODE_42702_length_1562_cov_385.123766_g7890_i1	21	22	21	28	28	29
NODE_62444_length_805_cov_480.979003_g20665_i0	281	278	296	172	199	189
NODE_4663_length_5621_cov_654.095733_g1101_i1	15	15	19	20	26	28
NODE_7408_length_4686_cov_286.912772_g1744_i0	1	0	0	10	4	7
NODE_32729_length_2052_cov_413.486809_g8242_i1	18	10	12	26	17	25
NODE_67560_length_661_cov_376.966019_g24438_i0	14	19	14	19	26	27
NODE_38512_length_1754_cov_139.403273_g10100_i0	3	3	3	11	11	11
NODE_18411_length_3056_cov_428.092599_g148_i16	4	5	4	13	13	12
NODE_32953_length_2039_cov_510.023547_g10_i8107	37	37	33	38	39	40
NODE_33859_length_1991_cov_415.742300_g7242_i2	37	45	46	43	44	45
NODE_7054_length_4771_cov_204.528130_g10_i1953	7	8	8	16	16	17
NODE_4980_length_5479_cov_429.228661_g1176_i1	32	27	34	36	36	36
NODE_50433_length_1232_cov_357.253154_g14343_i0	16	14	13	25	17	27
NODE_47651_length_1346_cov_623.501919_g10_i10564	64	73	77	74	64	54
NODE_66827_length_679_cov_82.628931_g23846_i0	9	9	8	17	19	16
NODE_20647_length_2857_cov_250.262615_g3826_i1	13	13	15	23	22	21
NODE_13806_length_3563_cov_220.663636_g3324_i0	8	9	7	15	17	18
NODE_36067_length_1873_cov_367.241530_g9322_i0	10	9	9	17	17	20
NODE_21916_length_2754_cov_399.111767_g964_i3	33	35	31	36	35	40
NODE_27704_length_2350_cov_247.475509_g1393_i5	7	6	8	16	16	15
NODE_69527_length_612_cov_524.850615_g11301_i4	6	5	5	13	11	18
NODE_2301_length_7154_cov_247.701870_g553_i0	12	13	13	22	20	21
NODE_39821_length_1691_cov_193.876214_g10517_i0	7	7	9	16	17	16
NODE_44605_length_1475_cov_646.725559_g1135_i22	78	80	94	73	78	64
NODE_59906_length_886_cov_388.861210_g19054_i0	122	72	222	244	189	171
NODE_37609_length_1798_cov_318.684330_g226_i48	7	7	9	17	17	15
NODE_21305_length_2803_cov_229.549275_g3532_i2	5	5	4	13	14	12
NODE_65637_length_711_cov_811.392216_g22938_i0	34	37	34	36	38	41
NODE_53642_length_1104_cov_315.564562_g15703_i0	14	13	12	20	21	23
NODE_90774_length_309_cov_694.176692_g46796_i0	27	34	31	37	32	37
NODE_116523_length_185_cov_6.647887_g72542_i0	0	1	0	5	5	11
NODE_4737_length_5589_cov_257.033898_g857_i3	12	13	12	20	20	22
NODE_30811_length_2162_cov_275.611609_g6063_i2	1	1	0	8	8	8
NODE_38960_length_1732_cov_324.856128_g10245_i0	1	1	0	8	8	8
NODE_81176_length_404_cov_22.897507_g37209_i0	1	1	0	8	8	8
NODE_20168_length_2897_cov_370.565172_g4803_i1	8	11	7	16	17	19
NODE_33585_length_2005_cov_270.800204_g84_i38	3	4	3	12	11	11
NODE_64510_length_743_cov_390.970000_g22085_i0	19	19	19	24	27	28
NODE_16730_length_3225_cov_219.758957_g4072_i0	26	25	24	31	30	32
NODE_9077_length_4301_cov_159.327619_g2146_i0	2	3	2	10	10	10
NODE_38545_length_1752_cov_254.459918_g10_i9089	2	3	2	10	10	10
NODE_64253_length_751_cov_535.940678_g10_i12279	38	36	38	40	40	40
NODE_21395_length_2795_cov_265.323401_g5238_i0	12	12	12	19	21	21
NODE_6946_length_4802_cov_164.114520_g10_i1927	0	0	0	5	5	5
NODE_12155_length_3775_cov_182.928189_g2927_i0	0	0	0	5	5	5
NODE_46672_length_1388_cov_193.417100_g10060_i5	0	0	0	5	5	5
NODE_47174_length_1366_cov_275.964475_g5339_i2	0	0	0	5	5	5
NODE_49537_length_1269_cov_468.763458_g13981_i0	0	0	0	5	5	5
NODE_49945_length_1252_cov_280.567411_g14147_i0	0	0	0	5	5	5
NODE_53704_length_1102_cov_99.205855_g15730_i0	0	0	0	5	5	5
NODE_62515_length_803_cov_41.728947_g20711_i0	0	0	0	5	5	5
NODE_34212_length_1972_cov_164.448419_g6925_i2	1	1	2	8	8	10
NODE_48513_length_1308_cov_437.604743_g1133_i14	4	7	7	13	13	18
NODE_57775_length_958_cov_241.395628_g16756_i2	0	0	0	5	6	4
NODE_22803_length_2689_cov_215.182540_g5595_i0	18	19	18	26	25	26
