	KO definition	gene name	counts
2316	solute carrier family 12 (potassium/chloride transporters), member 8	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p4', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p2']	2
2161	secretagogin	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
2162	secreted protein acidic and rich in cysteine	['NODE_9182_length_4279_cov_219.650378_g2172_i0.p1', 'NODE_15196_length_3397_cov_257.655337_g3682_i0.p1']	2
474	Ras GTPase-activating protein-binding protein 1 [EC:5.6.2.3 3.6.4.13]	['NODE_20726_length_2850_cov_705.433915_g830_i19.p1', 'NODE_28716_length_2288_cov_302.936748_g5989_i4.p2']	2
758	autophagy-related protein 16-2	['NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	2
747	aspartate beta-hydroxylase [EC:1.14.11.16]	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_22034_length_2744_cov_650.165494_g2798_i7.p1']	2
2165	seizure protein 6	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	2
302	HHIP-like protein	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	2
301	HERV-H LTR-associating protein 1	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	2
2513	transcriptional regulator ATRX	['NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_18392_length_3058_cov_639.920730_g134_i6.p1']	2
2173	sensitive to high expression protein 9, mitochondrial	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	2
2512	transcriptional regulator	['NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	2
2378	solute carrier family 9 (sodium/hydrogen exchanger), member 2	['NODE_54812_length_1061_cov_16.372299_g16298_i0.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p2']	2
2376	solute carrier family 7 (cationic amino acid transporter), member 3	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	2
193	E3 ubiquitin-protein ligase HUWE1 [EC:2.3.2.26]	['NODE_22034_length_2744_cov_650.165494_g2798_i7.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	2
2566	tubulin-like protein CetZ	['NODE_40874_length_1640_cov_686.453976_g10850_i0.p1', 'NODE_43348_length_1531_cov_699.911962_g11699_i0.p1']	2
189	E3 ubiquitin-protein ligase EDD1 [EC:2.3.2.26]	['NODE_20726_length_2850_cov_705.433915_g830_i19.p1', 'NODE_40297_length_1668_cov_702.177231_g1000_i10.p1']	2
579	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	2
2574	two-component system, NarL family, sensor histidine kinase DegS [EC:2.7.13.3]	['NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	2
2477	tetratricopeptide repeat protein 28	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	2
188	E3 ubiquitin-protein ligase CCNP1IP1 [EC:2.3.2.27]	['NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	2
2370	solute carrier family 5 (sodium/myo-inositol cotransporter), member 3	['NODE_54812_length_1061_cov_16.372299_g16298_i0.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p2']	2
284	G2/mitotic-specific cyclin 2	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	2
2481	thymidine phosphorylase [EC:2.4.2.4]	['NODE_41536_length_1610_cov_504.883854_g9030_i2.p1', 'NODE_45129_length_1451_cov_574.861506_g9030_i3.p1']	2
2485	titin [EC:2.7.11.1]	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	2
2359	solute carrier family 39 (zinc transporter), member 6	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	2
2500	transcription factor FER-LIKE IRON	['NODE_69133_length_622_cov_289.794473_g25741_i0.p2', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p1']	2
571	V/A-type H+/Na+-transporting ATPase subunit I	['NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	2
710	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase (sialyltransferase 7A) [EC:2.4.3.3]	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	2
2565	tubulin gamma	['NODE_40874_length_1640_cov_686.453976_g10850_i0.p1', 'NODE_43348_length_1531_cov_699.911962_g11699_i0.p1']	2
180	DNA-directed RNA polymerase I subunit RPA1 [EC:2.7.7.6]	['NODE_40297_length_1668_cov_702.177231_g1000_i10.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	2
2564	tubulin epsilon	['NODE_40874_length_1640_cov_686.453976_g10850_i0.p1', 'NODE_43348_length_1531_cov_699.911962_g11699_i0.p1']	2
2563	tubulin delta	['NODE_40874_length_1640_cov_686.453976_g10850_i0.p1', 'NODE_43348_length_1531_cov_699.911962_g11699_i0.p1']	2
2562	tubulin beta	['NODE_40874_length_1640_cov_686.453976_g10850_i0.p1', 'NODE_43348_length_1531_cov_699.911962_g11699_i0.p1']	2
170	DNA processing protein	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	2
2288	sigma-E controlled sporulation protein	['NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	2
2561	tubulin alpha	['NODE_40874_length_1640_cov_686.453976_g10850_i0.p1', 'NODE_43348_length_1531_cov_699.911962_g11699_i0.p1']	2
565	U3 small nucleolar RNA-associated protein 5	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1', 'NODE_40297_length_1668_cov_702.177231_g1000_i10.p1']	2
264	FHF complex subunit HOOK interacting protein 1	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_48493_length_1309_cov_283.065561_g13547_i0.p2']	2
2557	troponin C, skeletal muscle	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
581	WAS protein family, member 2	['NODE_48493_length_1309_cov_283.065561_g13547_i0.p1', 'NODE_56578_length_997_cov_553.798742_g17185_i0.p4']	2
2276	shingomyelin synthase [EC:2.7.8.27]	['NODE_6252_length_5011_cov_712.653986_g1467_i0.p2', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	2
147	CapZ-interacting protein	['NODE_40297_length_1668_cov_702.177231_g1000_i10.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	2
2371	solute carrier family 6 (neurotransmitter transporter, glycine) member 5/9	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	2
709	alpha-1,4-N-acetylglucosaminyltransferase EXTL3 [EC:2.4.1.223 2.4.1.224]	['NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	2
707	allograft inflammatory factor 1	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
138	CDK5 regulatory subunit-associated protein 2	['NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	2
704	alanine or glycine:cation symporter, AGCS family	['NODE_6252_length_5011_cov_712.653986_g1467_i0.p2', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	2
700	aflatoxin B1 aldehyde reductase	['NODE_40874_length_1640_cov_686.453976_g10850_i0.p1', 'NODE_43348_length_1531_cov_699.911962_g11699_i0.p1']	2
139	CDW93 antigen	['NODE_48268_length_1320_cov_237.943618_g4427_i2.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	2
698	aerotaxis receptor	['NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	2
696	adipocyte plasma membrane-associated protein	['NODE_54812_length_1061_cov_16.372299_g16298_i0.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	2
694	adhesion G-protein coupled receptor G2	['NODE_56578_length_997_cov_553.798742_g17185_i0.p1', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	2
691	adhesion G protein-coupled receptor L2	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	2
687	adenylyl-sulfate reductase (glutathione) [EC:1.8.4.9]	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
678	actinin alpha 2/3	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
677	actinin alpha 1/4	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
460	RNA-binding protein 7	['NODE_20726_length_2850_cov_705.433915_g830_i19.p1', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p2']	2
653	acidic leucine-rich nuclear phosphoprotein 32 family member A/C/D	['NODE_40297_length_1668_cov_702.177231_g1000_i10.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	2
615	WD repeat-containing protein 62	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	2
606	WD repeat-containing protein 47	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	2
192	E3 ubiquitin-protein ligase HOS1 [EC:2.3.2.27]	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_48493_length_1309_cov_283.065561_g13547_i0.p2']	2
290	GTP-binding protein 1	['NODE_18392_length_3058_cov_639.920730_g134_i6.p2', 'NODE_82829_length_383_cov_463.729412_g38857_i0.p1']	2
2259	serine/threonine-protein kinase TOS3 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	2
2268	serine/threonine-protein phosphatase 2B regulatory subunit	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
2577	two-component system, OmpR family, sensor histidine kinase BraS/BceS [EC:2.7.13.3]	['NODE_22034_length_2744_cov_650.165494_g2798_i7.p1', 'NODE_22034_length_2744_cov_650.165494_g2798_i7.p2']	2
2270	serine/threonine-protein phosphatase 6 regulatory subunit 1	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	2
2458	tetraspanin-10	['NODE_29204_length_2258_cov_432.055079_g10_i7406.p1', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p2']	2
2558	troponin C, slow skeletal and cardiac muscles	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
2321	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2	['NODE_6252_length_5011_cov_712.653986_g1467_i0.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p2']	2
380	Mimiviridae putative ATP-dependent RNA helicase	['NODE_18852_length_3010_cov_487.663296_g10_i5081.p1', 'NODE_18852_length_3010_cov_487.663296_g10_i5081.p1']	2
2100	receptor-type tyrosine-protein phosphatase C [EC:3.1.3.48]	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	2
894	cell division protein ZapB	['NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	2
893	cell division protein FtsZ	['NODE_40874_length_1640_cov_686.453976_g10850_i0.p1', 'NODE_43348_length_1531_cov_699.911962_g11699_i0.p1']	2
892	cell division protein FtsW	['NODE_22034_length_2744_cov_650.165494_g2798_i7.p2', 'NODE_40297_length_1668_cov_702.177231_g1000_i10.p1']	2
232	Eph receptor A3 [EC:2.7.10.1]	['NODE_69133_length_622_cov_289.794473_g25741_i0.p2', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p1']	2
371	MORC family CW-type zinc finger protein	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1']	2
2106	reduction in cnn dots 2	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	2
511	SUN domain-containing protein 1/2	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	2
379	Mimiviridae cathepsin B cystein protease	['NODE_33364_length_2017_cov_422.059777_g6652_i2.p1', 'NODE_43738_length_1514_cov_810.286200_g8146_i4.p1']	2
876	cell cycle and apoptosis regulator protein 2	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_36564_length_1847_cov_588.473947_g5221_i1.p1']	2
2111	regulator of sigma E protease [EC:3.4.24.-]	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	2
215	EF-hand domain-containing family member D2	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
900	centrin-2	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
871	cell adhesion molecule 1	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_56578_length_997_cov_553.798742_g17185_i0.p1']	2
869	cathepsin X [EC:3.4.18.1]	['NODE_33364_length_2017_cov_422.059777_g6652_i2.p1', 'NODE_43738_length_1514_cov_810.286200_g8146_i4.p1']	2
868	cathepsin W [EC:3.4.22.-]	['NODE_33364_length_2017_cov_422.059777_g6652_i2.p1', 'NODE_43738_length_1514_cov_810.286200_g8146_i4.p1']	2
867	cathepsin V [EC:3.4.22.43]	['NODE_33364_length_2017_cov_422.059777_g6652_i2.p1', 'NODE_43738_length_1514_cov_810.286200_g8146_i4.p1']	2
866	cathepsin S [EC:3.4.22.27]	['NODE_33364_length_2017_cov_422.059777_g6652_i2.p1', 'NODE_43738_length_1514_cov_810.286200_g8146_i4.p1']	2
865	cathepsin R [EC:3.4.22.-]	['NODE_33364_length_2017_cov_422.059777_g6652_i2.p1', 'NODE_43738_length_1514_cov_810.286200_g8146_i4.p1']	2
864	cathepsin Q [EC:3.4.22.-]	['NODE_33364_length_2017_cov_422.059777_g6652_i2.p1', 'NODE_43738_length_1514_cov_810.286200_g8146_i4.p1']	2
2455	testis-specific gene 10 protein	['NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	2
862	cathepsin O [EC:3.4.22.42]	['NODE_33364_length_2017_cov_422.059777_g6652_i2.p1', 'NODE_43738_length_1514_cov_810.286200_g8146_i4.p1']	2
861	cathepsin M [EC:3.4.22.-]	['NODE_33364_length_2017_cov_422.059777_g6652_i2.p1', 'NODE_43738_length_1514_cov_810.286200_g8146_i4.p1']	2
860	cathepsin L [EC:3.4.22.15]	['NODE_33364_length_2017_cov_422.059777_g6652_i2.p1', 'NODE_43738_length_1514_cov_810.286200_g8146_i4.p1']	2
899	centrin-1	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
901	centrin-3	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
858	cathepsin H [EC:3.4.22.16]	['NODE_33364_length_2017_cov_422.059777_g6652_i2.p1', 'NODE_43738_length_1514_cov_810.286200_g8146_i4.p1']	2
498	SEA/GATOR complex protein SEA2/WDR24	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	2
342	LIM domain-containing protein	['NODE_70819_length_582_cov_601.601113_g27209_i0.p1', 'NODE_70819_length_582_cov_601.601113_g27209_i0.p1']	2
944	chymopapain [EC:3.4.22.6]	['NODE_33364_length_2017_cov_422.059777_g6652_i2.p1', 'NODE_43738_length_1514_cov_810.286200_g8146_i4.p1']	2
340	LIM domain kinase 2 [EC:2.7.11.1]	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_70819_length_582_cov_601.601113_g27209_i0.p1']	2
940	chromodomain-helicase-DNA-binding protein 2 [EC:5.6.2.-]	['NODE_40297_length_1668_cov_702.177231_g1000_i10.p1', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p2']	2
939	chromo domain-containing protein 1	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	2
491	Rho-related BTB domain-containing protein 3	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_48493_length_1309_cov_283.065561_g13547_i0.p2']	2
2084	pyrrolysyl-tRNA synthetase [EC:6.1.1.26]	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	2
6	25S rRNA (cytosine2870-C5)-methyltransferase [EC:2.1.1.310]	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	2
2680	zinc metalloprotease ZmpB [EC:3.4.24.-]	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	2
10	5-azacytidine-induced protein 1	['NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	2
932	choline/glycine/proline betaine transport protein	['NODE_54812_length_1061_cov_16.372299_g16298_i0.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p2']	2
928	chloride channel 1, skeletal muscle	['NODE_54812_length_1061_cov_16.372299_g16298_i0.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p2']	2
902	centrin-4	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
923	centrosomal protein CEP95	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	2
16	ABC transport system ATP-binding/permease protein	['NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	2
919	centrosomal protein CEP63	['NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	2
918	centrosomal protein CEP55	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1']	2
2523	transient receptor potential cation channel subfamily M member 3	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	2
912	centrosomal protein CEP152	['NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	2
909	centrosomal protein CEP120	['NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	2
908	centromeric protein E	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2']	2
2098	receptor-interacting serine/threonine-protein kinase 3 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	2
905	centrobin	['NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	2
354	Lymphocryptovirus nuclear antigen 1	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1']	2
859	cathepsin K [EC:3.4.22.38]	['NODE_33364_length_2017_cov_422.059777_g6652_i2.p1', 'NODE_43738_length_1514_cov_810.286200_g8146_i4.p1']	2
863	cathepsin P [EC:3.4.22.-]	['NODE_33364_length_2017_cov_422.059777_g6652_i2.p1', 'NODE_43738_length_1514_cov_810.286200_g8146_i4.p1']	2
857	cathepsin F [EC:3.4.22.41]	['NODE_33364_length_2017_cov_422.059777_g6652_i2.p1', 'NODE_43738_length_1514_cov_810.286200_g8146_i4.p1']	2
839	carboxypeptidase X1 [EC:3.4.17.-]	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_48493_length_1309_cov_283.065561_g13547_i0.p2']	2
813	calcium-binding protein 1/2/4/5	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
213	EF-hand domain-containing family member B	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
814	calcium-binding protein 7/8	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
2454	testin-2	['NODE_33364_length_2017_cov_422.059777_g6652_i2.p1', 'NODE_43738_length_1514_cov_810.286200_g8146_i4.p1']	2
212	EF-hand calcium-binding domain-containing protein 7	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
211	EF-hand calcium-binding domain-containing protein 6	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
319	KDEL-tailed cysteine endopeptidase [EC:3.4.22.-]	['NODE_33364_length_2017_cov_422.059777_g6652_i2.p1', 'NODE_43738_length_1514_cov_810.286200_g8146_i4.p1']	2
2655	voltage-gated sodium channel type IV alpha	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p2']	2
516	Ser/Thr-rich caspase [EC:3.4.22.-]	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_48493_length_1309_cov_283.065561_g13547_i0.p2']	2
815	calcium-binding protein CML	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
318	K+:H+ antiporter subunit KhtU	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	2
2653	voltage-gated cation channel	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p4', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	2
2652	voltage-dependent calcium channel beta-2	['NODE_40297_length_1668_cov_702.177231_g1000_i10.p1', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p2']	2
50	ATP-dependent RNA helicase DDX23/PRP28 [EC:3.6.4.13]	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_18852_length_3010_cov_487.663296_g10_i5081.p1']	2
407	P protein	['NODE_54812_length_1061_cov_16.372299_g16298_i0.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p2']	2
2132	ribosomal RNA-processing protein 9	['NODE_22034_length_2744_cov_650.165494_g2798_i7.p1', 'NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	2
826	calpain, invertebrate [EC:3.4.22.-]	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
825	calmodulin	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
2396	splicing factor 3B subunit 4	['NODE_20726_length_2850_cov_705.433915_g830_i19.p1', 'NODE_56578_length_997_cov_553.798742_g17185_i0.p4']	2
824	calcyphosin	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
48	ATP-dependent RNA helicase DDX20 [EC:3.6.4.13]	['NODE_18852_length_3010_cov_487.663296_g10_i5081.p1', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p2']	2
834	calretinin	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
483	Rho GTPase-activating protein 30	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	2
26	ATP-binding cassette, sub-family E, member 1	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_48493_length_1309_cov_283.065561_g13547_i0.p2']	2
855	cathepsin B [EC:3.4.22.1]	['NODE_33364_length_2017_cov_422.059777_g6652_i2.p1', 'NODE_43738_length_1514_cov_810.286200_g8146_i4.p1']	2
854	cathepsin 8 [EC:3.4.22.-]	['NODE_33364_length_2017_cov_422.059777_g6652_i2.p1', 'NODE_43738_length_1514_cov_810.286200_g8146_i4.p1']	2
233	Eph receptor A8 [EC:2.7.10.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	2
801	calbindin	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
388	NADPH oxidase 5 [EC:1.6.3.-]	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
850	caspase recruitment domain-containing protein 11	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1']	2
2667	zinc finger MYM-type protein 2/3/4	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	2
2665	xylem cysteine proteinase [EC:3.4.22.-]	['NODE_33364_length_2017_cov_422.059777_g6652_i2.p1', 'NODE_43738_length_1514_cov_810.286200_g8146_i4.p1']	2
2120	rhomboid [EC:3.4.21.105]	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p4', 'NODE_48493_length_1309_cov_283.065561_g13547_i0.p2']	2
803	calcineurin B homologous protein 2	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	2
